cleaned tweets,labels
ok but are u regular depressed or put your phone in a plastic bag and watch anime in the shower for an hour and a half depressed,depressive
 year old me would deffo ask why i m still depressed and why i look exactly like her ,depressive
after im done being depressed abt finishing it probably but you know,depressive
 kau tu haa kena duduk rumah pastuu depress dasar gila,depressive
how long are you prepared to remain anxious stressed or depressed you ll know when you re ready to change ,depressive
when they find out ur not logging out dhmu depressed and more like i barley get out of my bed and theres thrash all around my room type depressed ,depressive
 dyosko haggard ka pba sa lagay mong yan ehh ano pa kme depress,depressive
i hate being depressed i just wanna draw again,depressive
my type is mentally ill depressed loser antisocial social anxious and just overall hot and sexy and fine girls ,depressive
 i was super depressed and suicidal in literally staying alive every day was so hard we have to give them more credit its so hard,depressive
it s better if year old me never met current me bc what s the point of growing up knowing you ll become a depressed adult who lost any hope of having an even slightly happy future at least when i was i still had some hope,depressive
 your depressed virgin cock want to remind you to have sex for once in your life,depressive
is it attention seeking or pathetic to say that right now i don t want to live but i equally do not want to die i can t cope not suicidal just depressed as f depressionisfun,depressive
i m feeling so severely depressed today my whole body feels heavy with it and i ve just found out i won t be able to go back to the place that is my safety net until july at the earliest please send good vibes,depressive
 when you re feeling depressed think about your future this has to be sarcasm ahahaha that s why we re depressed r u thick,depressive
yeah so update binged this all in one night worth it depressed iago and viruca couldn t end up together btw that s not a spoiler cause you know she s dead from the beginning eldesordenquedejas,depressive
 omg he got depressed bc of it that s ao fking sad he doesn t deserve this,depressive
 msinune ilitakiwa iwe power statement ya kukufanya usiwe depressed i m glad kwa hizi hatua mnazopiga msinune inawapa tabasamu wengi sana ,depressive
bored depressed and full of fucking cold,depressive
hatsune miku to a group of depressed fleshlings,depressive
istoryaha ni s jeneper mami kay depressed ni hahahahaha,depressive
 cause u was depressed amp now u abusin me i know his hoes was clownin heavy lol ,depressive
don t u hate being depressed and then no one gives to fucks and it comes to the point where u want to runaway for good depression ,depressive
not really still depressed,depressive
school made fun of me and gossip about me family doesn t understand my pain and think i am useless friends she is so dramatic and always act as a victim and too depressed society you are not good enough well sorry to u all that i am not upto your expectations ,depressive
 about six months ago i was worried that my dog was depressed i put him on synopet vit d plus vit c and green lipped muscle within days he had become like a puppy again his energy levels are incredible for a nine year old and he is so happy ,depressive
listen if you don t love me when i m a horny lactating tf obsessed cervitaur then you don t deserve me when i m boring and depressed,depressive
 why are you depressed because i expect to die alone at the end of a meaningless life and be completely forgotten yeah this is why i don t answer honestly when people ask me shit like this ,depressive
 no money sad depress die ,depressive
aot episode director for the declaration of war episode was depressed because of all the negativity the episode got yall really don t deserve mappa they re working their asses off and making sure we don t wait years for the adaptation and yall tag them and get mad about the ost,depressive
depressed ,depressive
 it s like saying why be depressed when you can just smile ,depressive
 gm bestie you depressed me and then get a sel notice okay congrats anyways,depressive
 eh bukannya dia yang main muka aku dulu hahaha taktau jangan accuse siapa start dulu is your real question pergi depress balik sana profile picture pon gelap nak bash aku lak indeed amusing ,depressive
